id,title,release_date,popularity,vote_average,vote_count,genre_ids,original_language
218,The Terminator,1984-10-26,17.0482,7.7,14460,28|53|878,en
762509,Mufasa: The Lion King,2024-12-18,17.0459,7.308,2607,12|10751|16,en
767,Harry Potter and the Half-Blood Prince,2009-07-15,17.0151,7.7,20655,12|14,en
1197137,Black Phone 2,2025-10-15,16.9526,6.713,1016,27|53,en
3558,"Girl, Interrupted",1999-12-21,16.9445,7.565,4118,18,en
156022,The Equalizer,2014-09-24,16.929,7.284,9854,53|28|80,en
1630433,The Red Line,2026-03-22,16.9093,6.898,49,53|80|18,th
1020969,Teddy's Christmas,2022-11-05,16.8964,6.969,50,10751|12|14,no
1153576,Street Fighter,2026-10-14,16.8572,0.0,0,28|35|14,en
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,16.8514,7.136,11424,12|10751|14,en
207,Dead Poets Society,1989-06-02,16.7795,8.3,12481,18,en
385687,Fast X,2023-05-17,16.7513,7.0,6259,28|80|53,en
1661563,レイプ仕掛人,1997-01-21,16.7459,0.0,0,18,ja
1209511,Love Insurance Kompany,2026-04-10,16.7219,5.5,3,10749|878|35,ta
359410,Road House,2024-03-08,16.7107,6.924,2947,28|53|18,en
1621,Trading Places,1983-06-07,16.6911,7.231,3620,35,en
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,16.6911,7.821,22068,12|14|28,en
109445,Frozen,2013-11-20,16.6861,7.248,17489,16|10751|12|14,en
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,16.6681,7.375,17023,12|14|28,en
286217,The Martian,2015-09-30,16.6465,7.695,21055,878|18|12,en
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,16.4708,7.7,20254,12|14,en
1301421,The Sheep Detectives,2026-05-02,16.4278,0.0,0,9648|80|35|10751,en
315162,Puss in Boots: The Last Wish,2022-12-07,16.3541,8.201,8735,16|12|14|35|10751,en
2062,Ratatouille,2007-06-28,16.3132,7.839,18350,16|35|10751|14,en
228150,Fury,2014-10-15,16.2984,7.543,12841,10752|18|28,en
1243741,Ballistic,2026-04-17,16.2657,5.571,7,28|53,en
949,Heat,1995-12-15,16.2588,7.931,8237,80|18|28,en
12,Finding Nemo,2003-05-30,16.2188,7.817,20430,16|10751|12,en
1284496,Cycle of Time,2025-10-08,16.2111,6.158,73,35|878,fr
405746,Door,1988-05-14,16.1759,5.9,25,27|9648|53,ja
99861,Avengers: Age of Ultron,2015-04-22,16.1021,7.27,24282,28|12|878,en
675,Harry Potter and the Order of the Phoenix,2007-07-08,16.0636,7.7,20680,12|14,en
37165,The Truman Show,1998-06-04,16.0546,8.152,20036,35|18,en
603692,John Wick: Chapter 4,2023-03-21,16.0291,7.707,7828,28|53|80,en
1213898,Border 2,2026-01-23,15.9539,6.357,14,28|18|10752,hi
1363123,The Family Plan 2,2025-11-11,15.9417,6.5,543,28|35,en
81774,Exploits of a Young Don Juan,1986-11-04,15.9183,6.023,307,35|18,fr
73861,A Serbian Film,2010-01-06,15.8513,5.4,2193,80|27|53,sr
1396,Mirror,1975-03-07,15.8072,7.953,1081,18|36,ru
1401778,Turbulence,2025-11-26,15.7815,6.557,105,53|28|12|18|14,en
412117,The Secret Life of Pets 2,2019-05-24,15.7652,6.948,3300,10751|35|12|16,en
5879,In the Realm of the Senses,1976-09-15,15.7382,6.6,720,18|10749,ja
1007734,Nobody 2,2025-08-13,15.7377,6.943,1439,28|53,en
1066313,The Draft!,2026-03-05,15.7336,6.25,4,878|27,id
1317672,Love Me Love Me,2026-02-12,15.7,5.736,218,10749|18,en
1233728,Seven-day Swapping,2023-05-23,15.6346,0.0,0,10749,ko
1611398,Un hombre por semana,2026-01-08,15.6342,7.25,48,35|10749|18,es
11036,The Notebook,2004-06-25,15.5885,7.888,12448,10749|18,en
1145758,Birder,2023-08-11,15.5826,4.071,7,53|18,en
1495,Kingdom of Heaven,2005-05-03,15.5824,7.0,4866,18|28|12|36|10752,en
271110,Captain America: Civil War,2016-04-27,15.4559,7.447,23901,12|28|878,en
985939,Fall,2022-08-11,15.4364,7.106,4461,53,en
10681,WALL·E,2008-06-22,15.4135,8.11,20114,16|10751|878,en
39254,Real Steel,2011-09-28,15.3929,7.07,9013,28|878|18,en
1403735,Laila,2025-02-14,15.3689,4.6,7,35|10749,te
1071585,M3GAN 2.0,2025-06-25,15.2779,7.228,1260,28|878|53,en
2288,Closer,2004-12-03,15.2707,6.832,3715,18|10749,en
967941,Wicked: For Good,2025-11-19,15.2602,6.641,933,14|12|10749,en
1135873,GGS - Ganteng-Ganteng Sange,2023-05-28,15.259,6.1,7,18|10749,hi
